City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,48.04,57,75,11.5,SJ,1690725992
1,nadym,65.5333,72.5167,66.2,64,35,15.55,RU,1690725993
2,port elizabeth,-33.918,25.5701,56.1,62,20,26.46,ZA,1690725993
3,mariental,-24.6333,17.9667,57.47,20,0,9.35,NA,1690725993
4,port alfred,-33.5906,26.891,58.17,65,70,10.0,ZA,1690725994
5,bilibino,68.0546,166.4372,41.13,94,100,2.48,RU,1690725994
6,ariguani,10.25,-74.0,86.79,53,100,1.86,CO,1690725995
7,merizo village,13.2658,144.6691,81.99,96,53,2.48,GU,1690725996
8,ilulissat,69.2167,-51.1,44.62,87,75,4.61,GL,1690725996
9,lompoc,34.6391,-120.4579,55.54,100,100,3.44,US,1690725997
10,olonkinbyen,70.9221,-8.7187,43.11,86,100,2.95,SJ,1690725997
11,ushuaia,-54.8,-68.3,33.46,64,40,14.97,AR,1690725886
12,revda,56.801,59.9303,77.29,49,5,6.78,RU,1690725998
13,port-aux-francais,-49.35,70.2167,35.04,72,51,36.98,TF,1690725998
14,grytviken,-54.2811,-36.5092,34.65,99,99,11.16,GS,1690725998
15,wailua homesteads,22.0669,-159.378,77.79,89,100,12.66,US,1690725999
16,west island,-12.1568,96.8225,76.98,78,75,21.85,CC,1690725999
17,hoima,1.4356,31.3436,81.84,48,91,3.09,UG,1690725999
18,coquimbo,-29.9533,-71.3436,53.33,87,100,2.3,CL,1690725999
19,qaqortoq,60.7167,-46.0333,46.35,74,78,5.28,GL,1690726000
20,alice springs,-23.7,133.8833,60.35,82,74,5.75,AU,1690726000
21,nuuk,64.1835,-51.7216,45.21,81,75,8.05,GL,1690726001
22,udachny,66.4167,112.4,67.37,43,17,13.6,RU,1690726001
23,la passe,45.5549,-0.8967,75.43,52,95,11.92,FR,1690726001
24,trujillo,-8.116,-79.03,71.56,78,100,4.61,PE,1690725882
25,presidente medici,-11.1753,-61.9014,88.41,28,13,5.3,BR,1690725723
26,saynshand,44.8824,110.1163,91.67,18,0,9.28,MN,1690726002
27,iqaluit,63.7506,-68.5145,40.01,88,79,5.28,CA,1690726003
28,hermanus,-34.4187,19.2345,52.72,79,100,25.97,ZA,1690726003
29,kulhudhuffushi,6.6221,73.07,83.37,74,10,12.68,MV,1690725981
30,center,31.5107,-96.4247,87.8,61,0,4.61,US,1690725581
31,bathsheba,13.2167,-59.5167,84.81,89,40,10.36,BB,1690726004
32,walvis bay,-22.9575,14.5053,62.1,46,0,25.88,NA,1690726004
33,jiangyou,31.7667,104.7167,79.39,80,92,3.49,CN,1690726004
34,hammerfest,70.6634,23.6821,52.25,100,75,8.05,NO,1690726005
35,adamstown,-25.066,-130.1015,66.06,56,90,21.77,PN,1690726005
36,ribeira grande,38.5167,-28.7,77.4,88,40,11.01,PT,1690726005
37,mukalla,14.5425,49.1242,92.1,53,7,17.76,YE,1690726006
38,puerto natales,-51.7236,-72.4875,34.34,71,25,10.49,CL,1690726006
39,kavieng,-2.5744,150.7967,81.25,81,100,7.27,PG,1690726007
40,aasiaat,68.7098,-52.8699,34.83,94,100,4.16,GL,1690726007
41,vilyuysk,63.7553,121.6247,58.78,50,0,4.63,RU,1690726007
42,port blair,11.6667,92.75,84.24,84,75,16.11,IN,1690726008
43,chegdomyn,51.1167,133.0167,61.18,95,4,2.13,RU,1690726008
44,remire-montjoly,4.9167,-52.2667,86.04,66,75,5.75,GF,1690726008
45,bikenibeu village,1.3673,173.1241,82.36,83,75,8.05,KI,1690726009
46,edinburgh of the seven seas,-37.0676,-12.3116,59.09,81,100,31.18,SH,1690726009
47,touros,-5.1989,-35.4608,83.98,64,42,16.53,BR,1690725767
48,invercargill,-46.4,168.35,50.02,73,54,13.0,NZ,1690726010
49,waitangi,-43.9535,-176.5597,46.81,91,97,1.99,NZ,1690726010
50,blackmans bay,-43.0167,147.3167,47.73,63,12,18.16,AU,1690726010
51,papatowai,-46.5619,169.4708,46.24,79,8,7.67,NZ,1690726011
52,badger,64.8,-147.5333,61.52,87,100,5.75,US,1690725933
53,waspan,14.7419,-83.9717,80.92,89,78,5.57,NI,1690726011
54,hawaiian paradise park,19.5933,-154.9731,72.03,86,100,8.05,US,1690726012
55,hamilton,39.1834,-84.5333,82.44,70,0,5.75,US,1690726012
56,noumea,-22.2763,166.4572,66.99,99,54,7.07,NC,1690726012
57,gorontalo,0.5412,123.0595,75.07,91,95,3.98,ID,1690726012
58,bethel,41.3712,-73.414,71.2,63,0,12.66,US,1690726013
59,puerto baquerizo moreno,-0.9,-89.6,76.19,94,75,10.36,EC,1690726013
60,nikol'sk,53.7189,46.0712,60.87,95,100,12.77,RU,1690726014
61,alwar,27.5667,76.6,89.53,62,100,7.49,IN,1690725751
62,enewetak,11.3474,162.3373,82.02,79,100,14.94,MH,1690726014
63,suwayr,30.1171,40.3893,106.12,8,0,5.21,SA,1690726015
64,cortina d'ampezzo,46.5384,12.1377,74.89,70,93,3.04,IT,1690726015
65,punta arenas,-53.15,-70.9167,30.11,100,34,15.82,CL,1690725780
66,camargo,27.6667,-105.1667,76.87,43,100,5.44,MX,1690726016
67,kirensk,57.7853,108.1119,63.95,93,4,4.12,RU,1690726016
68,pihani,27.6333,80.2,89.28,60,98,4.25,IN,1690726016
69,yellowknife,62.456,-114.3525,60.57,100,0,5.01,CA,1690726017
70,hadibu,12.65,54.0333,80.13,76,33,19.55,YE,1690726018
71,quellon,-43.1167,-73.6167,49.8,86,92,10.58,CL,1690725733
72,guli,28.8833,120.0333,74.68,93,100,3.78,CN,1690726019
73,whitehorse,60.7161,-135.0538,55.81,82,40,4.61,CA,1690725860
74,nar'yan-mar,67.6713,53.087,84.63,52,11,13.82,RU,1690726020
75,nova sintra,14.8667,-24.7167,73.22,74,100,4.9,CV,1690726020
76,puerto ayora,-0.7393,-90.3518,80.56,90,55,4.0,EC,1690726021
77,talnakh,69.4865,88.3972,68.79,81,99,3.85,RU,1690726021
78,vilyuchinsk,52.9306,158.4028,55.67,95,100,2.15,RU,1690726021
79,san clemente del tuyu,-36.3569,-56.7235,53.98,77,100,14.67,AR,1690726022
80,noshiro,40.2039,140.0242,75.69,93,60,3.71,JP,1690726022
81,el nido,11.1858,119.3956,82.04,78,100,8.68,PH,1690726022
82,zaragoza,41.6561,-0.8773,90.45,36,0,10.36,ES,1690726023
83,porto novo,6.4965,2.6036,76.98,87,100,5.95,BJ,1690726023
84,weno,7.4515,151.8468,83.68,70,100,3.62,FM,1690726023
85,turpan,42.9333,89.1667,94.01,25,99,7.49,CN,1690726024
86,nagqu,31.5,92.0,49.82,74,100,5.91,CN,1690726024
87,utrik,11.2278,169.8474,82.4,81,98,18.68,MH,1690726025
88,kem',64.9555,34.5793,65.26,70,100,9.46,RU,1690726025
89,albany,42.6001,-73.9662,66.94,69,0,1.01,US,1690726025
90,sortavala,61.7053,30.6918,69.96,63,50,5.61,RU,1690726026
91,acapulco de juarez,16.8634,-99.8901,82.22,69,100,3.44,MX,1690726026
92,ixtapa,20.7,-105.2,83.23,89,0,4.61,MX,1690726026
93,xinzhou,38.4092,112.7333,69.49,98,100,3.87,CN,1690726027
94,fort stockton,30.894,-102.8793,81.16,46,0,6.91,US,1690726027
95,hilo,19.7297,-155.09,79.29,69,75,8.01,US,1690725159
96,timbuktu,16.7735,-3.0074,101.08,27,21,7.18,ML,1690726028
97,constantia,44.1833,28.65,86.7,54,4,17.58,RO,1690725730
98,new norfolk,-42.7826,147.0587,48.92,69,9,11.41,AU,1690726028
99,kruisfontein,-34.0033,24.7314,53.89,67,100,24.79,ZA,1690726028
100,itoman,26.1247,127.6694,84.22,79,75,12.66,JP,1690726029
101,launceston,-41.45,147.1667,46.8,80,9,14.97,AU,1690726029
102,darwin,-12.4611,130.8418,73.38,68,0,2.3,AU,1690725766
103,karratha,-20.7377,116.8463,71.64,25,55,7.87,AU,1690726030
104,brownwood,31.7093,-98.9912,87.8,48,0,4.61,US,1690726030
105,susuman,62.7833,148.1667,51.42,70,95,6.91,RU,1690726030
106,jamestown,42.097,-79.2353,71.02,69,0,6.91,US,1690725813
107,sitka,57.0531,-135.33,58.89,82,100,8.05,US,1690726031
108,honcho,35.6931,139.9833,88.02,70,29,16.93,JP,1690726031
109,newnham,-41.3833,147.1333,46.31,80,8,14.97,AU,1690726031
110,carnarvon,-24.8667,113.6333,65.07,56,0,13.18,AU,1690726032
111,los zacatones,22.95,-102.05,61.38,73,31,15.52,MX,1690726032
112,alofi,-19.0595,-169.9187,71.98,83,100,17.4,NU,1690726032
113,dudinka,69.4058,86.1778,65.43,79,57,11.03,RU,1690726033
114,panadura,6.7132,79.9026,79.99,83,49,8.79,LK,1690726033
115,trairi,-3.2778,-39.2689,88.39,50,6,15.14,BR,1690725748
116,pacific grove,36.6177,-121.9166,55.08,95,100,5.01,US,1690726034
117,margate,51.3813,1.3862,65.88,78,100,11.99,GB,1690726034
118,san fernando,15.0286,120.6898,78.53,91,100,3.96,PH,1690726034
119,mersa matruh,31.3525,27.2453,84.92,60,0,17.43,EG,1690726035
120,cestos city,5.46,-9.5828,80.22,77,100,9.78,LR,1690726035
121,cidreira,-30.1811,-50.2056,61.79,66,0,9.6,BR,1690726035
122,tazovsky,67.4667,78.7,62.1,80,99,8.01,RU,1690726036
123,kingsville,27.5159,-97.8561,87.76,75,0,5.99,US,1690726036
124,port mathurin,-19.6833,63.4167,74.05,70,0,19.55,MU,1690726036
125,mbarara,-0.608,30.65,84.74,29,91,5.1,UG,1690726037
126,nova vicosa,-17.8919,-39.3719,72.16,81,100,17.38,BR,1690725974
127,kodiak,57.79,-152.4072,56.71,72,100,9.22,US,1690726037
128,mamuju,-2.6748,118.8885,79.93,84,81,2.19,ID,1690726037
129,kingston,17.997,-76.7936,88.25,71,9,3.0,JM,1690726038
130,keflavik,64.0049,-22.5624,54.03,82,100,9.22,IS,1690726038
131,dhalie,13.6957,44.7314,81.05,52,98,8.39,YE,1690726038
132,bhimunipatnam,17.8833,83.4333,87.31,72,100,9.48,IN,1690726039
133,galveston,29.3669,-94.9669,88.18,83,0,3.44,US,1690726039
134,georgetown,5.4112,100.3354,87.73,70,20,8.05,MY,1690726040
135,puerto deseado,-47.7503,-65.8938,42.21,60,8,4.85,AR,1690726041
136,flying fish cove,-10.4217,105.6791,74.88,83,75,16.11,CX,1690726041
137,margaret river,-33.95,115.0667,57.52,78,100,6.55,AU,1690726042
138,port-cartier,50.0334,-66.8654,68.76,61,98,3.87,CA,1690726042
139,shilovo,54.3204,40.874,68.88,70,94,11.21,RU,1690726042
140,iskateley,67.6803,53.1512,84.56,52,11,13.56,RU,1690726043
141,santa maria del oro,25.9333,-105.3667,68.38,53,43,0.87,MX,1690726043
142,broome,42.2506,-75.833,68.63,69,75,12.66,US,1690726043
143,primero de mayo,-32.2552,-58.4228,59.56,58,51,7.85,AR,1690726044
144,hami,42.8,93.45,85.64,28,100,15.03,CN,1690726044
145,sogndal,61.2283,7.1003,59.38,94,100,12.66,NO,1690726044
146,arkalyk,50.2486,66.9114,83.53,33,0,12.19,KZ,1690726045
147,juneau,58.3019,-134.4197,61.21,95,75,0.0,US,1690725505
148,mount pearl,47.5166,-52.7813,61.14,100,100,9.22,CA,1690726045
149,kodinsk,58.6881,99.1844,62.47,98,100,7.94,RU,1690726046
150,sandpoint,48.2766,-116.5533,71.71,63,0,1.01,US,1690725908
151,island harbour,50.724,-1.2758,66.15,90,100,10.0,GB,1690726046
152,yatou,37.15,122.3833,76.12,95,49,10.25,CN,1690726047
153,taoudenni,22.6783,-3.9836,114.78,10,79,1.23,ML,1690726047
154,myrina,39.8797,25.0742,88.84,33,0,8.05,GR,1690726048
155,tiksi,71.6872,128.8694,35.62,93,96,8.16,RU,1690726048
156,belmonte,-15.8631,-38.8828,74.32,81,100,7.14,BR,1690726049
157,es castell,39.8795,4.2854,83.08,78,75,9.22,ES,1690726049
158,geraldton,-28.7667,114.6,52.21,93,0,5.75,AU,1690726049
159,vorgashor,67.5833,63.95,73.76,53,29,3.38,RU,1690726049
160,blenheim,-41.516,173.9528,38.52,87,0,1.01,NZ,1690726050
161,kavaratti,10.5669,72.642,82.71,77,4,14.72,IN,1690726050
162,forest,37.3638,-79.2897,82.8,69,0,4.61,US,1690726051
163,zhatay,62.1594,129.8294,62.06,77,20,1.99,RU,1690726051
164,crane,31.3974,-102.3501,80.47,40,6,11.63,US,1690726051
165,balaipungut,1.05,101.2833,76.35,94,62,3.27,ID,1690726052
166,ternate,0.8,127.4,80.96,81,88,5.08,ID,1690726052
167,olyokminsk,60.3736,120.4264,64.27,59,100,2.13,RU,1690726052
168,quepos,9.4236,-84.1652,82.44,79,100,2.04,CR,1690726053
169,namibe,-15.1961,12.1522,70.27,57,12,8.7,AO,1690726053
170,kununurra,-15.7667,128.7333,69.78,73,30,1.14,AU,1690726053
171,kapuskasing,49.4169,-82.4331,59.09,82,75,8.05,CA,1690725976
172,mili,6.0815,171.735,83.21,76,100,7.96,MH,1690726054
173,la rinconada,37.4873,-5.9826,103.12,29,0,8.05,ES,1690726054
174,east london,-33.0153,27.9116,61.74,41,0,26.46,ZA,1690725894
175,tura,25.5198,90.2201,79.0,88,17,2.68,IN,1690726055
176,afaahiti,-17.75,-149.2833,75.06,77,91,20.0,PF,1690726055
177,vila velha,-20.3297,-40.2925,69.75,86,100,8.05,BR,1690726056
178,lautoka,-17.6167,177.4667,69.66,64,75,6.91,FJ,1690726056
179,peace river,56.2501,-117.286,60.66,90,20,3.44,CA,1690725774
