City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yeraliyev,43.2,51.65,27.56,26,0,8.5,KZ,1691972733
1,shingu,33.7333,135.9833,27.08,80,100,8.57,JP,1691972733
2,ribeira grande,38.5167,-28.7,22.65,88,18,2.68,PT,1691972733
3,bredasdorp,-34.5322,20.0403,10.55,77,95,2.31,ZA,1691972734
4,edinburgh of the seven seas,-37.0676,-12.3116,10.87,65,88,5.85,SH,1691972734
5,jinka,5.65,36.65,17.77,63,19,2.11,ET,1691972734
6,port mathurin,-19.6833,63.4167,22.92,69,12,10.01,MU,1691972735
7,djenne,13.9061,-4.5533,27.45,75,74,3.02,ML,1691972735
8,doba,8.65,16.85,22.74,92,99,0.63,TD,1691972735
9,papao,-17.75,-149.55,27.82,73,47,4.42,PF,1691972735
10,waitangi,-43.9535,-176.5597,13.79,86,65,2.68,NZ,1691972736
11,jamestown,42.097,-79.2353,21.8,73,0,2.06,US,1691972736
12,grytviken,-54.2811,-36.5092,-5.38,81,13,4.55,GS,1691972736
13,ilulissat,69.2167,-51.1,7.01,93,75,0.0,GL,1691972737
14,lisala,2.15,21.5167,21.09,99,86,1.01,CD,1691972737
15,iqaluit,63.7506,-68.5145,7.85,81,20,2.06,CA,1691972739
16,espanola,35.9911,-106.0806,31.6,31,96,1.67,US,1691972602
17,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,68,20,2.0,RU,1691972739
18,isafjordur,66.0755,-23.124,10.53,54,5,2.07,IS,1691972739
19,puerto ayora,-0.7393,-90.3518,23.3,74,50,4.56,EC,1691972740
20,lesnoy,57.6198,63.0784,11.55,72,13,2.65,RU,1691972740
21,blackmans bay,-43.0167,147.3167,8.74,76,97,0.9,AU,1691972685
22,albany,42.6001,-73.9662,23.36,73,51,2.41,US,1691972741
23,cockburn town,21.4612,-71.1419,29.08,78,2,6.7,TC,1691972603
24,novobod,39.0108,70.1508,16.82,48,4,0.35,TJ,1691972741
25,tura,25.5198,90.2201,22.82,97,99,1.36,IN,1691972741
26,west island,-12.1568,96.8225,23.99,83,75,7.2,CC,1691972742
27,tidjikja,18.5564,-11.4271,33.68,39,32,5.67,MR,1691972742
28,nouadhibou,20.931,-17.0347,23.99,94,20,5.14,MR,1691972742
29,carnarvon,-24.8667,113.6333,15.55,71,0,6.47,AU,1691972742
30,tindouf,27.6711,-8.1474,36.25,11,0,2.06,DZ,1691972743
31,suda,59.1525,37.5582,16.06,96,28,2.38,RU,1691972743
32,yellowknife,62.456,-114.3525,23.29,51,100,7.15,CA,1691972743
33,port elizabeth,-33.918,25.5701,12.16,76,0,5.14,ZA,1691972743
34,port-aux-francais,-49.35,70.2167,2.64,67,97,7.11,TF,1691972744
35,bethel,41.3712,-73.414,26.53,73,0,2.06,US,1691972744
36,kapa'a,22.0752,-159.319,30.18,69,20,6.69,US,1691972744
37,stanley,54.868,-1.6985,13.62,83,0,2.06,GB,1691972745
38,thompson,55.7435,-97.8558,25.09,33,20,4.12,CA,1691972745
39,north bend,43.4065,-124.2243,31.8,68,0,7.2,US,1691972745
40,lebu,-37.6167,-73.65,10.77,92,95,1.22,CL,1691972745
41,saipan,15.1355,145.701,27.39,100,75,6.69,MP,1691972746
42,bubaque,11.2833,-15.8333,26.28,85,99,6.07,GW,1691972746
43,longyearbyen,78.2186,15.6401,7.91,93,100,5.66,SJ,1691972447
44,new norfolk,-42.7826,147.0587,9.4,66,33,0.93,AU,1691972746
45,east london,-33.0153,27.9116,16.35,77,100,5.85,ZA,1691972747
46,haiku-pauwela,20.9219,-156.3051,29.03,62,40,11.83,US,1691972747
47,mabaruma,8.2,-59.7833,24.99,86,9,1.57,GY,1691972747
48,crane,31.3974,-102.3501,38.49,18,0,6.06,US,1691972747
49,keflavik,64.0049,-22.5624,11.24,87,0,1.03,IS,1691972748
50,illizi,26.4833,8.4667,30.89,19,0,5.47,DZ,1691972748
51,whitehorse,60.7161,-135.0538,17.79,40,75,7.15,CA,1691972521
52,adamstown,-25.066,-130.1015,18.77,60,14,4.5,PN,1691972748
53,esmoriz,40.9577,-8.6275,16.06,90,17,3.3,PT,1691972502
54,talnakh,69.4865,88.3972,12.34,64,97,0.65,RU,1691972749
55,sosnovyy bor,59.9,29.1167,17.96,84,75,4.89,RU,1691972749
56,kodinsk,58.6881,99.1844,18.18,95,98,0.44,RU,1691972749
57,fort bragg,35.139,-79.006,32.85,63,40,3.6,US,1691972750
58,invercargill,-46.4,168.35,6.68,83,67,2.68,NZ,1691972750
59,egilsstadir,65.2653,-14.3948,6.95,87,75,0.0,IS,1691972750
60,puerto natales,-51.7236,-72.4875,2.02,96,97,2.34,CL,1691972750
